BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
135 Mississippi St,USA,CA,94107,San Francisco,PotreroHill,NA,NA,NA,NA,37.76471292,-122.3945954
1355 Fairfax Ave,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.73919534,-122.3839947
1355 Franklin St,USA,CA,94109,San Francisco,WesternAddition,NA,NA,Complied,Complied,37.7870282,-122.423619
1301 Market St,USA,CA,94103,San Francisco,SOMA,NA,NA,Complied,Complied,37.77714945,-122.4162383
1355 Sutter St,USA,CA,94109,San Francisco,WesternAddition,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78732474,-122.4225546
1355 Van Ness Ave,USA,CA,94109,San Francisco,WesternAddition,Complied,Complied,DidNotComply,DidNotComply,37.78815994,-122.42248
1359 Pine St,USA,CA,94109,San Francisco,NobHill,DidNotComply,DidNotComply,DidNotComply,Complied,37.78962745,-122.4182835
1360 Fairfax Ave,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.74005603,-122.384424
1360 Mission St,USA,CA,94103,San Francisco,SOMA,NA,Complied,Complied,Complied,37.77586389,-122.4155486
1363 Divisadero St,USA,CA,94115,San Francisco,WesternAddition,NA,NA,Complied,Complied,37.78229589,-122.4394471
1375 Mission St,USA,CA,94103,San Francisco,Mid-Market,NA,NA,Complied,Complied,37.77538352,-122.4152805
1379 Underwood Ave,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,Complied,37.72718045,-122.3877762
138 6Th St,USA,CA,94103,San Francisco,SOMA,NA,NA,DidNotComply,DidNotComply,37.78029305,-122.4081785
1380 7Th St,USA,CA,94107,San Francisco,SOMA,NA,DidNotComply,DidNotComply,DidNotComply,37.76711318,-122.3965911
1385 Carroll Ave,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72240552,-122.3893581
139 Townsend St,USA,CA,94107,San Francisco,SOMA,Complied,Complied,Complied,Complied,37.77962797,-122.3912257
1390 Silver Ave,USA,CA,94134,San Francisco,Excelsior,NA,NA,NA,DidNotComply,37.73105444,-122.4090706
1395 Evans Ave,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.7405313,-122.3846573
1398 Bryant St,USA,CA,94103,San Francisco,Mission,NA,DidNotComply,DidNotComply,DidNotComply,37.76838784,-122.4111637
140 7Th St,USA,CA,94103,San Francisco,SOMA,NA,DidNotComply,DidNotComply,DidNotComply,37.77850426,-122.4104796
140 9Th St,USA,CA,94103,San Francisco,WesternSoma,NA,NA,NA,NA,37.77548891,-122.4142523
132 Geary St,USA,CA,94108,San Francisco,Fidi,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78794175,-122.4057389
140 Potrero Ave,USA,CA,94103,San Francisco,Mission,NA,NA,Complied,DidNotComply,37.76767048,-122.4082509
1400 17Th St,USA,CA,94107,San Francisco,PotreroHill,NA,NA,DidNotComply,DidNotComply,37.765421,-122.3980609
1400 New Montgomery St,USA,CA,94103,San Francisco,Fidi,Exempt - Vacant,Exempt - Vacant,DidNotComply,DidNotComply,37.78672448,-122.4001138
1400 Van Ness Ave,USA,CA,94109,San Francisco,NobHill,NA,NA,DidNotComply,DidNotComply,37.78870302,-122.4216059
1401 3Rd St,USA,CA,94107,San Francisco,SOMA,NA,NA,DidNotComply,DidNotComply,37.7716778,-122.3891975
1401 Howard St,USA,CA,94103,San Francisco,WesternSoma,NA,Exempt - Vacant,Exempt - Vacant,DidNotComply,37.77356638,-122.4142936
1401 Illinois St,USA,CA,94107,San Francisco,PotreroHill,NA,DidNotComply,DidNotComply,DidNotComply,37.75402308,-122.3866796
1405 Indiana St,USA,CA,94107,San Francisco,PotreroHill,NA,NA,DidNotComply,DidNotComply,37.75249136,-122.3904511
1405 Minnesota St,USA,CA,94107,San Francisco,PotreroHill,NA,NA,DidNotComply,DidNotComply,37.75199549,-122.389375
