BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
1020 KEARNY ST,USA,CA,94133,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.79740156,-122.4051979
1023 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.78022051,-122.4090538
1025 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77913931,-122.4077392
1025 Market St.,USA,CA,94103,San Francisco,South of Market,NA,Exempt - Change in Ownership,Complied,DidNotComply,37.78139972,-122.4106882
333 MARKET ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,Complied,Complied,37.79163514,-122.3976808
1028 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78188893,-122.4113163
1035 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,DidNotComply,DidNotComply,37.78122658,-122.4107768
1040 COLUMBUS AVE,USA,CA,94133,San Francisco,North Beach,NA,NA,DidNotComply,DidNotComply,37.80410993,-122.4152317
1043 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.78118021,-122.410935
1045 17TH ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.7650451,-122.3945251
1045 BRYANT ST,USA,CA,94103,San Francisco,South of Market,NA,DidNotComply,DidNotComply,DidNotComply,37.7717861,-122.4073258
1049 MARKET ST,USA,CA,94103,San Francisco,South of Market,Complied,Complied,DidNotComply,Complied,37.78124423,-122.4111935
1050 16TH ST,USA,CA,94107,San Francisco,South of Market,NA,Exempt - Vacant,DidNotComply,DidNotComply,37.76703589,-122.3972871
1050 SANSOME ST,USA,CA,94111,San Francisco,North Beach,NA,DidNotComply,DidNotComply,DidNotComply,37.79994844,-122.4022254
1054 GRANT AVE,USA,CA,94133,San Francisco,Chinatown,NA,NA,DidNotComply,DidNotComply,37.79678411,-122.4066232
1058 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77882315,-122.4087413
1059 MARKET ST,USA,CA,94103,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78091259,-122.411272
1067 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,DidNotComply,DidNotComply,37.78077079,-122.4114557
1069 HOWARD ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77831502,-122.4085148
1069 PENNSYLVANIA AVE,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.75297836,-122.3923362
1072 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78152461,-122.4116952
1075 FRONT ST,USA,CA,94111,San Francisco,North Beach,NA,DidNotComply,Complied,Complied,37.80106095,-122.4006566
1079 16TH ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.7663538,-122.3974051
1090 SANSOME ST,USA,CA,94111,San Francisco,North Beach,Complied,Complied,Complied,Complied,37.80011861,-122.4021995
1089 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.78043275,-122.4118861
36 2ND ST,USA,CA,94105,San Francisco,Fidi,NA,NA,Complied,Complied,37.78864605,-122.4009421
1095 MARKET ST,USA,CA,94103,San Francisco,South of Market,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,37.78033316,-122.4120064
1095 SHAFTER AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.72543901,-122.3812225
10 UNITED NATIONS PLZ,USA,CA,94102,San Francisco,Downtown/Civic Center,Complied,DidNotComply,DidNotComply,DidNotComply,37.78048567,-122.4131726
110 SUTTER ST,USA,CA,94108,San Francisco,Fidi,NA,Complied,Complied,DidNotComply,37.79024327,-122.4027094
110 THE EMBARCADERO,USA,CA,94105,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.79323892,-122.3926485
1100 CESAR CHAVEZ ST,USA,CA,94107,San Francisco,Potrero Hill,NA,Complied,Complied,Complied,37.75026642,-122.3885544
1100 DIVISADERO ST,USA,CA,94115,San Francisco,Western Addition,NA,NA,DidNotComply,DidNotComply,37.78005882,-122.4384932
1100 MARKET ST,USA,CA,94102,San Francisco,Downtown/Civic Center,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78087966,-122.4124623
1101 Sutter St.,USA,CA,94109,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78767951,-122.4186914
